runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
88,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80.0,80.0,64.75,0,1,0,0,0,1,2004.0,1.0
93,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,79.0,79.0,72.35,0,1,1,0,0,0,1973.0,0.0
80,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70.5,63.0,80.4,0,1,1,0,0,0,2018.0,0.0
154,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,56.0,56.0,68.4,3,1,0,0,0,1,2003.0,1.0
93,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,49.5,13.0,55.15,0,1,0,1,0,0,2014.0,0.0
122,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,93.0,91.0,73.6,0,1,0,1,0,0,1951.0,1.0
90,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,38.0,38.0,42.9,0,1,0,1,0,0,2000.0,1.0
109,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,52.0,52.0,60.45,3,1,0,1,0,0,2006.0,1.0
193,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,66.0,63.0,0.0,0,1,0,0,0,1,1965.0,0.0
91,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,19.5,6.0,43.6,3,1,0,0,0,1,2007.0,1.0
111,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,80.0,80.0,73.7,0,0,0,0,0,0,,
95,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,34.0,12.0,29.55,0,1,0,1,0,0,1982.0,1.0
