name,critic_score,audience_score,Y,runtime,rating_G,rating_NR,rating_PG,rating_PG13,rating_R,rating_NC17,genre_action,genre_animation,genre_foreign,genre_classics,genre_comedy,genre_documentary,genre_drama,genre_horror,genre_family,genre_mystery,genre_romance,genre_fantasy,director_score,writer_score,actor_score,studio_score,in_theater,theater_spring,theater_summer,theater_fall,theater_winter,theater_year,is_wide
The Mummy's Ghost1944,33%,21%,1,61,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,46.5,33,67.3,0,1,0,1,0,0,1944,1
The Damned (2014),9%,19%,0,87,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,9,63,0,1,1,0,1,0,0,2014,0
Stephen King's 'Graveyard Shift'1990,13%,22%,0,88,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,25,36,40.25,0,1,0,0,1,0,1990,1
Creepshow1982,74%,68%,1,121,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,69.5,36,65.3,0,1,0,0,1,0,1982,1
Zombi 21980,42%,69%,0,128,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,42,60,67.7,0,1,0,1,0,0,1980,1
A Nightmare on Elm Street 3: Dream Warriors1987,74%,67%,1,96,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,74,53,48.5,0,1,0,0,0,1,1987,1
The Unspoken,0%,34%,0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,33.5,33.5,39.4,0,1,0,0,1,0,2016,0
The Devil's Doorway (2018),76%,41%,1,77,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,76,76,72.85,0,1,0,1,0,0,2018,0
Terrifier,70%,58%,1,85,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70,70,58.05,1,1,1,0,0,0,2018,0
The Pact II2014,22%,14%,1,96,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,51,51,19.8,2,1,0,0,1,0,2014,0
Dracula A.D. 1972 (1972),25%,40%,0,95,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,25,63,30.05,0,1,0,0,1,0,1972,1
Diane,88%,64%,1,82,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88,88,50.35,1,1,0,0,1,0,2018,0
The Sorcerers1967,100%,59%,1,87,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,88,100,85.1,0,1,0,0,0,1,1967,1
The Banshee Chapter2014,76%,42%,1,87,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,78,78,54.8,2,1,0,0,0,1,2014,0
The Dead2011,72%,46%,1,104,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,64,72,74.75,1,1,0,0,1,0,2011,0
The House of the Devil,87%,63%,1,93,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,77,77,61,3,1,0,0,1,0,2009,1
Dolls1987,62%,51%,1,77,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,69,25,51.45,1,1,1,0,0,0,1987,1
Black Water2008,79%,39%,1,89,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,79,79,75.9,1,1,0,0,0,1,2008,1
Stephen King's 'Sleepwalkers'1992,20%,31%,0,91,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,51,36,37.95,0,1,1,0,0,0,1992,1
Creep 2,100%,71%,1,80,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,92,92,80.7,0,1,0,0,1,0,2017,0
13 Sins (2014),62%,45%,1,92,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,71,71,48.8,2,1,1,0,0,0,2014,0
Bone Tomahawk,90%,73%,1,133,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,82,82,65.95,0,1,0,0,1,0,2015,0
Let Us Prey2014,80%,42%,1,89,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,66,80,57.55,1,0,0,0,0,0,NA,NA
Antibirth,68%,34%,1,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,54,49.95,0,1,0,0,1,0,2016,0
Mayhem,84%,64%,1,99,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,53.5,84,84.75,0,1,0,0,1,0,2017,0
Mum & Dad2008,78%,47%,1,85,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,78,63,71,0,1,0,1,0,0,2008,1
Hellraiser III: Hell on Earth1992,41%,36%,1,98,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,41,36,62.2,0,1,0,0,1,0,1992,1
The Human Centipede (First Sequence) (2010),50%,25%,1,90,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,29,29,60.9,3,1,1,0,0,0,2010,1
The Purge: Election Year,54%,48%,1,105,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,53,53,54.3,3,1,0,1,0,0,2016,1
A Horrible Way to Die (2011),67%,35%,1,87,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,47,53,69.9,2,1,0,1,0,0,2011,0
Phantasm: Ravager,54%,28%,1,100,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,54,54,47.4,2,1,0,0,1,0,2016,0
Await Further Instructions,82%,32%,1,91,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,73,82,78.1,0,1,0,0,1,0,2018,0
The Prophecy II1998,33%,44%,0,83,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,33,33,47.8,0,1,0,0,0,1,1998,1
The Gallows2015,15%,22%,0,87,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,15,15,28,3,1,0,1,0,0,2015,1
Lord of Illusions1995,61%,52%,1,108,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,48.5,48.5,53.45,0,1,0,1,0,0,1995,1
Body Bags (1993),73%,38%,1,95,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,59,54,69.1,0,1,0,1,0,0,1993,1
Day of the Dead2008,14%,22%,0,87,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,34,33,42.1,0,1,1,0,0,0,2008,1
